task_name,from_pretrained,model_cfg,model_cls,model_type,lr,batch_size,HVD_SIZE,lr_scheduler,input_seq_len,max_n_segments,num_mem_tokens,segment_ordering,model_path,sum_loss,num_steps,best_valid_f1
qasper,t5-base,,modeling_rmt_enc_dec_mem_loss:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,5e-05,2,1,linear,1024,4,10,regular,../runs/test/qasper/t5-base/lr5e-05_linear_adamw_wd1e-03_1024-1024-{4}seg_mem10_bs32_iters5000_regular_mem_loss_rc0.01/run_1,False,5000,9.432000160217285
qasper,t5-base,,modeling_rmt_enc_dec_mem_loss:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,5e-05,1,1,linear,1024,3,10,regular,../runs/test/qasper/t5-base/lr5e-05_linear_adamw_wd1e-03_1024-1024-{3}seg_mem10_bs32_iters5000_regular_mem_loss_rc0_prs_2000/run_1,False,2000,7.566100120544434
qasper,t5-base,,modeling_rmt_enc_dec_mem_loss:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,5e-05,1,1,linear,1024,3,10,regular,../runs/test/qasper/t5-base/lr5e-05_linear_adamw_wd1e-03_1024-1024-{3}seg_mem10_bs32_iters5000_regular_mem_loss_rc0_prs_2000/run_1,False,5000,9.2923002243042
qasper,t5-base,,modeling_rmt_enc_dec_mem_loss:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,5e-06,2,1,linear,1024,1,10,regular,../runs/test/qasper/t5-base/lr5e-06_linear_adamw_wd1e-03_1024-1024-{1}seg_mem10_bs32_iters5000_regular_mem_loss_rc0.001/run_1,False,5000,15.737500190734863
qasper,t5-base,,modeling_rmt_enc_dec_mem_loss:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,5e-05,2,1,linear,1024,4,10,regular,../runs/test/qasper/t5-base/lr5e-05_linear_adamw_wd1e-03_1024-1024-{4}seg_mem10_bs32_iters5000_regular_mem_loss_rc0.001/run_2,False,5000,9.017399787902832
qasper,t5-base,,modeling_rmt_enc_dec_mem_loss:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,5e-05,2,1,linear,1024,4,10,regular,../runs/test/qasper/t5-base/lr5e-05_linear_adamw_wd1e-03_1024-1024-{4}seg_mem10_bs32_iters5000_regular_mem_loss_rc0.001/run_1,False,5000,9.572799682617188
qasper,t5-base,,modeling_rmt_enc_dec_ilm:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,5e-05,2,1,linear,2048,4,10,regular,../runs/test/qasper/t5-base/lr5e-05_linear_adamw_wd1e-03_2048-1024-{4}seg_mem10_bs32_iters5000_regular_ilm/run_1,False,2200,9.419400215148926
qasper,t5-base,,modeling_rmt_enc_dec_mem_loss:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,5e-05,2,1,linear,1024,2,10,regular,../runs/test/qasper/t5-base/lr5e-05_linear_adamw_wd1e-03_1024-1024-{2}seg_mem10_bs32_iters5000_regular_mem_loss_rc0.001/run_1,False,50,0.01269999984651804
qasper,t5-base,,modeling_rmt_enc_dec_mem_loss:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,5e-05,4,1,linear,1024,2,1,regular,../runs/test/qasper/t5-base/lr5e-05_linear_adamw_wd1e-03_1024-1024-{2}seg_mem1_bs32_iters5000_regular_mem_loss_rc0.001/run_1,False,5000,9.938599586486816
qasper,t5-base,,modeling_rmt_enc_dec_mem_loss:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,5e-06,1,1,linear,1024,3,10,regular,../runs/test/qasper/t5-base/lr5e-06_linear_adamw_wd1e-03_1024-1024-{3}seg_mem10_bs32_iters5000_regular_mem_loss_rc0_prs_2000/run_1,False,5000,8.172800064086914
qasper,t5-base,,modeling_rmt_enc_dec_mem_loss:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,5e-06,1,1,linear,1024,3,10,regular,../runs/test/qasper/t5-base/lr5e-06_linear_adamw_wd1e-03_1024-1024-{3}seg_mem10_bs32_iters5000_regular_mem_loss_rc0_prs_2000/run_1,False,2000,7.352099895477295
qasper,t5-base,,modeling_rmt_enc_dec_ilm_mem_layers:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,5e-05,4,1,linear,1024,2,10,regular,../runs/test/qasper/t5-base/lr5e-05_linear_adamw_wd1e-03_1024-1024-{2}seg_mem10_bs32_iters5000_regular_ilmV2_mem_layers_shared/run_1,False,50,0.009200000204145908
qasper,t5-base,,modeling_rmt_enc_dec_ilm_mem_layersV2:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,5e-05,4,1,linear,1200,2,1,regular,../runs/test/qasper/t5-base/lr5e-05_linear_adamw_wd1e-03_1200-1024-{2}seg_mem1_bs32_iters5000_regular_ilmV2_mem_layers_shared_mem_prefixV3/run_2,False,5000,11.389900207519531
